,Country,Sex ,Date
3,AUSTRALIA,M,17-Sep-16
4,AUSTRALIA,M,16-Sep-16
10,AUSTRALIA,M,05-Sep-16
22,AUSTRALIA,M,28-Jul-16
24,AUSTRALIA,M,26-Jul-16
26,AUSTRALIA,M,23-Jul-16
28,AUSTRALIA,M,20-Jul-16
39,AUSTRALIA,M,04-Jul-16
47,AUSTRALIA,M,15-Jun-16
52,AUSTRALIA,F,05-Jun-16
54,AUSTRALIA,M,02-Jun-16
56,AUSTRALIA,M,31-May-16
69,AUSTRALIA,M,19-Apr-16
77,AUSTRALIA,M,30-Mar-16
79,AUSTRALIA,M,28-Mar-16
85,AUSTRALIA,M,Reported 03-Mar-2016
91,AUSTRALIA,M,10-Feb-16
92,AUSTRALIA,F,05-Feb-16
93,AUSTRALIA,M,04-Feb-16
100,AUSTRALIA,M,Reported 11-Jan-2016
101,AUSTRALIA,M,05-Jan-16
102,AUSTRALIA,M,02-Jan-16
106,AUSTRALIA,M,21-Dec-15
115,AUSTRALIA,M,10-Nov-15
120,AUSTRALIA,M,30-Oct-15
132,AUSTRALIA,M,07-Oct-15
137,AUSTRALIA,F,26-Sep-15
145,AUSTRALIA,M,08-Sep-15
148,AUSTRALIA,M,04-Sep-15
155,AUSTRALIA,M,22-Aug-15
161,AUSTRALIA,M,31-Jul-15
164,AUSTRALIA,M,25-Jul-15
166,AUSTRALIA,M,23-Jul-15
174,AUSTRALIA,M,03-Jul-15
175,AUSTRALIA,M,02-Jul-15
177,AUSTRALIA,M,30-Jun-15
184,AUSTRALIA,M,Reported 25-Jun-2015
187,AUSTRALIA,F,24-Jun-15
206,AUSTRALIA,M,03-May-15
210,AUSTRALIA,M,25-Apr-15
211,AUSTRALIA,M,24-Jun-15
213,AUSTRALIA,M,11-Apr-15
222,AUSTRALIA,M,11-Mar-15
227,AUSTRALIA,M,09-Feb-15
228,AUSTRALIA,M,08-Feb-15
229,AUSTRALIA,M,05-Feb-15
230,AUSTRALIA,M,30-Jan-15
232,AUSTRALIA,M,24-Jan-15
234,AUSTRALIA,F,19-Jan-15
235,AUSTRALIA,M,17-Jan-15
236,AUSTRALIA,M,16-Jan-15
242,AUSTRALIA,M,29-Dec-14
246,AUSTRALIA,M,28-Dec-14
248,AUSTRALIA,M,15-Dec-14
250,AUSTRALIA,M,29-Nov-14
252,AUSTRALIA,M,19-Nov-14
256,AUSTRALIA,M,10-Nov-14
259,AUSTRALIA,M,29-Oct-14
264,AUSTRALIA,F,17-Oct-14
268,AUSTRALIA,M,11-Oct-14
274,AUSTRALIA,M,02-Oct-14
278,AUSTRALIA,M,09-Sep-14
292,AUSTRALIA,M,16-Aug-14
318,AUSTRALIA,M,18-Jun-14
319,AUSTRALIA,M,18-Jun-14
320,AUSTRALIA,M,Reported 17-Jun-2014
323,AUSTRALIA,M,09-Jun-14
327,AUSTRALIA,M,01-Jun-14
329,AUSTRALIA,F,24-May-14
331,AUSTRALIA,M,22-May-14
334,AUSTRALIA,M,14-May-14
340,AUSTRALIA,M,24-Apr-14
347,AUSTRALIA,F,03-Apr-14
348,AUSTRALIA,M,29-Mar-14
353,AUSTRALIA,M,18-Mar-14
355,AUSTRALIA,F,18-Mar-14
356,AUSTRALIA,M,12-Mar-14
360,AUSTRALIA,M,08-Feb-14
363,AUSTRALIA,M,26-Jan-14
372,AUSTRALIA,M,05-Dec-13
374,AUSTRALIA,M,30-Nov-13
376,AUSTRALIA,M,23-Nov-13
378,AUSTRALIA,M,12-Nov-13
383,AUSTRALIA,F,28-Oct-13
385,AUSTRALIA,M,26-Oct-13
386,AUSTRALIA,M,24-Oct-13
391,AUSTRALIA,M,08-Oct-13
413,AUSTRALIA,M, 25-Aug-2013
435,AUSTRALIA,M,02-Jul-13
447,AUSTRALIA,M,06-Jun-13
456,AUSTRALIA,M,28-Apr-13
458,AUSTRALIA,M,21-Apr-13
465,AUSTRALIA,M,Reported 02-Apr-2013
467,AUSTRALIA,M,31-Mar-13
474,AUSTRALIA,M,10-Mar-13
483,AUSTRALIA,M,26-Jan-13
484,AUSTRALIA,M,25-Jan-13
485,AUSTRALIA,M,Reported 21-Jan-2013
488,AUSTRALIA,M,05-Jan-13
490,AUSTRALIA,M,30-Dec-12
491,AUSTRALIA,M,28-Dec-12
493,AUSTRALIA,M,19-Dec-12
495,AUSTRALIA,M,02-Dec-12
498,AUSTRALIA,M,27-Nov-12
512,AUSTRALIA,M,02-Oct-12
527,AUSTRALIA,M,28-Aug-12
535,AUSTRALIA,M,31-Jul-12
542,AUSTRALIA,M,14-Jul-12
545,AUSTRALIA,F,07-Jul-12
552,AUSTRALIA,M,22-Jun-12
554,AUSTRALIA,M,20-Jun-12
562,AUSTRALIA,M,12-Jun-12
564,AUSTRALIA,M,03-Jun-12
577,AUSTRALIA,M,11-Apr-12
580,AUSTRALIA,M,31-Mar-12
583,AUSTRALIA,M,20-Mar-12
588,AUSTRALIA,F,06-Mar-12
594,AUSTRALIA,M,25-Feb-12
596,AUSTRALIA,M,06-Feb-12
599,AUSTRALIA,M,19-Jan-12
601,AUSTRALIA,M,18-Jan-12
604,AUSTRALIA,M,03-Jan-12
605,AUSTRALIA,M,02-Jan-12
612,AUSTRALIA,M,11-Dec-11
614,AUSTRALIA,M,07-Dec-11
617,AUSTRALIA,M,02-Dec-11
619,AUSTRALIA,M,28-Nov-11
627,AUSTRALIA,M,22-Oct-11
629,AUSTRALIA,M,19-Oct-11
632,AUSTRALIA,M,09-Oct-11
648,AUSTRALIA,M,04-Sep-11
651,AUSTRALIA,M,28-Aug-11
706,AUSTRALIA,M,23-Apr-11
713,AUSTRALIA,M,23-Mar-11
716,AUSTRALIA,F,16-Mar-11
718,AUSTRALIA,M,10-Mar-11
719,AUSTRALIA,M,Reported 28-Feb-2011
722,AUSTRALIA,M,17-Feb-11
723,AUSTRALIA,M,13-Feb-11
724,AUSTRALIA,M,12-Feb-11
730,AUSTRALIA,F,20-Jan-11
744,AUSTRALIA,M,27-Nov-10
748,AUSTRALIA,M,Reported 12-Nov-2010
749,AUSTRALIA,F,30-Oct-10
750,AUSTRALIA,M,Reported 28-Oct-2010
754,AUSTRALIA,M,23-Oct-10
757,AUSTRALIA,M,09-Oct-10
764,AUSTRALIA,M, 13-Sep-2010
773,AUSTRALIA,M,17-Aug-10
775,AUSTRALIA,F,10-Aug-10
777,AUSTRALIA,M,08-Aug-10
800,AUSTRALIA,M,06-Jun-10
805,AUSTRALIA,M,18-May-10
