,date,newcases,dollar_high,dollar_low,varBid,bid,open,azul_high,azul_low,close,volume
0,2020-02-15,,,,,,,,,,
1,2020-02-16,,,,,,,,,,
2,2020-02-17,,4.328,4.3273,0.001,4.3279,59.99,59.99,58.55,58.7,1240700.0
3,2020-02-18,,4.3564,4.3559,0.0007,4.3563,58.6,58.6,57.17,58.02,1489600.0
4,2020-02-19,,4.3656,4.3653,0.0007,4.3655,58.0,58.77,57.6,58.08,1005300.0
5,2020-02-20,,4.3939,4.3936,0.0006,4.3938,57.51,57.86,55.96,56.4,2970600.0
6,2020-02-21,,4.4064,4.3717,-0.0036,4.3895,55.79,56.21,54.96,55.65,2498800.0
7,2020-02-22,,,,,,,,,,
8,2020-02-23,,,,,,,,,,
9,2020-02-24,,4.3898,4.3883,-0.0012,4.3878,,,,,
10,2020-02-25,,4.3884,4.3883,0.0005,4.3878,,,,,
11,2020-02-26,0.0,4.455,4.3883,0.0003,4.4502,,,,,
12,2020-02-27,0.0,4.5008,4.4483,0.0002,4.4861,47.79,48.31,44.52,45.13,7916100.0
13,2020-02-28,0.0,4.5141,4.4645,-0.0126,4.4733,44.11,45.29,42.55,44.44,6402400.0
14,2020-02-29,1.0,,,,,,,,,
15,2020-03-01,0.0,,,,,,,,,
16,2020-03-02,0.0,4.4744,4.4744,0.0004,4.474,45.65,46.96,44.34,45.19,7049000.0
17,2020-03-03,0.0,4.5148,4.5148,0.0004,4.5144,45.4,46.38,43.67,44.0,7936300.0
18,2020-03-04,1.0,4.585,4.585,0.0003,4.5847,46.0,46.21,43.51,44.75,4655600.0
19,2020-03-05,5.0,4.6076,4.6076,0.0003,4.6073,43.85,43.85,37.7,38.25,6552000.0
20,2020-03-06,5.0,4.6711,4.6076,0.0199,4.6269,34.51,39.78,33.8,38.68,12921400.0
21,2020-03-07,6.0,,,,,,,,,
22,2020-03-08,6.0,,,,,,,,,
23,2020-03-09,0.0,4.7925,4.6272,0.09300000000000001,4.7187,36.0,36.35,31.55,32.1,6260300.0
24,2020-03-10,9.0,4.7246,4.6348,-0.0797,4.6425,36.8,36.8,32.9,36.18,6281500.0
25,2020-03-11,18.0,4.8154,4.64,0.1725,4.814,33.98,35.12,28.48,30.25,8041000.0
26,2020-03-12,25.0,5.0280000000000005,4.75,-0.0146,4.7985,20.02,22.02,20.0,20.3,8321300.0
27,2020-03-13,74.0,4.881,4.6452,0.0685,4.8580000000000005,24.47,25.0,20.3,24.71,19066500.0
28,2020-03-14,0.0,,,,,,,,,
29,2020-03-15,49.0,,,,,,,,,
30,2020-03-16,34.0,5.0680000000000005,4.8595,0.1386,4.9949,17.4,20.78,15.58,15.6,17642100.0
31,2020-03-17,112.0,5.0118,5.0073,0.0028,5.011,16.34,16.34,13.72,15.23,19408600.0
32,2020-03-18,183.0,5.252000000000001,5.0073,0.1018,5.1089,13.5,13.5,9.1,10.35,21205400.0
33,2020-03-19,111.0,5.212999999999999,5.069,-0.0149,5.0897,9.8,13.4,8.74,11.97,16527900.0
34,2020-03-20,330.0,5.0967,4.9830000000000005,-0.0318,5.0627,13.7,17.5,13.01,13.8,17389700.0
35,2020-03-21,208.0,,,,,,,,,
36,2020-03-22,368.0,,,,,,,,,
37,2020-03-23,378.0,5.1422,5.0069,0.0769,5.1382,,,,,
38,2020-03-24,323.0,5.1457,5.0412,-0.049,5.0938,,,,,
39,2020-03-25,307.0,5.0366,5.0348,-0.0003,5.0345,,,,,
40,2020-03-26,431.0,5.066,4.9739,-0.008,5.0255,,,,,
41,2020-03-27,432.0,5.1279,5.0221,0.0798,5.1007,,,,,
42,2020-03-28,487.0,,,,,,,,,
43,2020-03-29,352.0,,,,,,,,,
44,2020-03-30,374.0,5.1945,5.101,0.0941,5.1931,,,,,
45,2020-03-31,1087.0,5.2143,5.169,0.0122,5.2045,,,,,
