,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,6,4.28,2.5,63.4,57.0,6.1,6.18,3.89,3219.1984348665046
1,0.38,8,7.14,5.0,60.3,61.0,4.68,4.71,2.83,905.6511606969725
2,0.52,4,4.28,5.0,61.8,56.0,5.19,5.16,3.2,1471.8034153282551
3,1.1,4,5.71,6.25,61.3,56.0,6.65,6.69,4.09,5128.569369437073
4,2.28,4,5.71,2.5,61.6,57.0,8.44,8.37,5.18,12437.030736074683
5,2.01,6,1.42,5.0,60.8,58.0,8.08,8.16,4.94,10713.813792224171
6,1.06,4,5.71,2.5,62.2,57.0,6.51,6.49,4.04,4348.733710098155
7,0.7,10,8.57,3.75,60.1,58.0,5.81,5.83,3.5,2513.319199820735
8,0.73,10,2.85,5.0,59.7,59.0,5.94,5.81,3.51,2594.4443775320233
9,0.73,4,4.28,10.0,61.6,55.0,5.8,5.82,3.58,3322.6266911362254
10,1.0,8,10.0,5.0,64.1,58.0,6.24,6.33,4.03,4373.661832245467
11,0.33,4,5.71,7.5,60.1,57.0,4.48,4.51,2.7,1001.7477693398305
12,0.54,4,1.42,7.5,61.6,57.0,5.25,5.23,3.23,1750.459186936614
13,0.33,4,10.0,5.0,61.9,53.0,4.49,4.46,2.77,913.6079280949907
14,0.51,2,10.0,5.0,64.4,54.0,5.06,5.03,3.25,1739.5562767306492
15,0.51,4,8.57,3.75,62.4,55.0,5.09,5.14,3.19,1496.3958631919559
16,0.3,8,2.85,3.75,63.2,55.0,4.25,4.29,2.7,123.1981360166119
17,2.66,8,4.28,2.5,64.3,60.0,8.71,8.65,5.58,14517.972729529129
18,0.92,10,7.14,3.75,61.8,59.0,6.21,6.25,3.85,3672.2867581943556
19,0.3,4,5.71,10.0,62.2,55.0,4.3,4.32,2.68,1208.3035424643112
20,1.0,6,4.28,3.75,62.0,54.0,6.43,6.47,4.0,4006.119563096412
21,0.34,6,7.14,6.25,61.1,57.0,4.51,4.54,2.76,930.2442732656
22,1.01,6,7.14,2.5,62.4,58.0,6.37,6.41,3.99,4047.9784078433677
23,0.87,4,7.14,6.25,62.0,55.0,6.1,6.13,3.79,3799.4020296957206
24,1.26,10,10.0,2.5,61.9,58.0,6.88,6.81,4.24,5851.555277974869
25,0.38,10,8.57,6.25,60.2,58.0,4.66,4.71,2.82,1175.6489396132438
26,0.55,4,7.14,7.5,62.3,54.0,5.29,5.27,3.29,2131.5777083367484
27,0.65,10,5.71,3.75,61.9,58.0,5.54,5.51,3.42,2049.2625621513525
28,0.41,10,10.0,7.5,62.2,58.0,4.8,4.78,2.98,1517.2942965298425
29,0.7,6,2.85,1.25,63.2,59.0,5.62,5.59,3.54,1796.3291557688572
30,1.03,6,2.85,6.25,62.9,53.0,6.45,6.5,4.07,4401.825993646733
31,0.34,4,7.14,7.5,61.3,56.0,4.52,4.56,2.78,1104.117328865761
32,0.73,4,2.85,8.75,61.7,53.0,5.8,5.84,3.59,3066.4399604257287
33,0.83,4,10.0,2.5,62.1,56.0,6.0,6.04,3.74,3184.772341097081
34,0.51,6,5.71,3.75,63.0,53.0,5.1,5.13,3.22,1293.6771053335924
35,1.06,4,8.57,5.0,61.3,57.0,6.54,6.57,4.02,4896.397923231329
36,0.41,4,10.0,6.25,61.8,57.0,4.75,4.8,2.95,1429.8498456473899
37,1.03,4,7.14,5.0,60.4,56.0,6.59,6.56,3.97,4698.137220216226
38,0.32,4,10.0,3.75,61.3,55.0,4.41,4.46,2.72,670.8462450478073
39,0.3,10,1.42,6.25,62.6,58.0,4.32,4.27,2.69,354.2148996060878
40,0.32,6,10.0,7.5,60.1,58.0,4.41,4.44,2.66,1197.8565567179194
41,0.33,4,5.71,6.25,61.7,56.0,4.44,4.47,2.75,803.8141937287164
42,0.25,4,5.71,6.25,62.7,54.0,4.05,4.08,2.55,483.2510031424172
43,0.3,4,7.14,6.25,61.0,56.0,4.37,4.35,2.66,765.5282755952558
44,1.26,6,7.14,10.0,60.0,60.0,7.04,7.09,4.24,6798.74503198528
45,1.14,4,1.42,6.25,61.6,56.0,6.71,6.73,4.14,5114.04625913135
46,1.51,10,4.28,3.75,62.8,60.0,7.22,7.14,4.51,7232.06832486504
47,0.51,6,8.57,2.5,62.0,57.0,5.09,5.13,3.17,1302.0133011346152
48,0.32,4,5.71,10.0,61.0,57.0,4.44,4.48,2.72,1260.7399365001183
49,0.94,10,8.57,2.5,60.4,59.0,6.37,6.34,3.84,3801.5800253630587
50,0.51,10,8.57,5.0,60.6,58.0,5.15,5.12,3.11,1693.59212682394
51,1.12,4,4.28,2.5,61.4,56.0,6.69,6.66,4.1,4677.79140791319
52,1.33,10,5.71,2.5,60.3,58.0,7.19,7.16,4.33,6085.898787659871
53,0.32,10,4.28,5.0,61.7,59.0,4.35,4.4,2.7,441.49769420650955
54,0.7,4,8.57,5.0,62.6,57.0,5.63,5.68,3.54,2676.908742660664
55,1.35,4,4.28,8.75,61.9,57.0,7.06,7.09,4.38,6944.396702628319
56,0.23,8,7.14,5.0,63.8,57.0,3.93,3.84,2.48,339.93637847233913
57,0.9,6,7.14,1.25,61.9,59.0,6.16,6.18,3.82,3246.9844394756547
58,1.03,4,10.0,3.75,61.3,56.0,6.48,6.54,3.99,4621.0811683544
59,1.02,8,8.57,2.5,62.8,64.0,6.36,6.32,3.98,4175.059351581587
60,0.55,4,4.28,7.5,61.7,57.0,5.28,5.26,3.25,1986.7637772604485
61,0.34,4,8.57,10.0,61.7,56.0,4.46,4.48,2.76,1562.9307880668766
62,0.71,10,10.0,7.5,60.0,58.0,5.92,5.84,3.53,3188.365424378999
63,0.55,8,5.71,3.75,63.6,61.0,5.22,5.16,3.3,1434.428289294714
64,0.54,4,5.71,5.0,61.5,55.0,5.24,5.27,3.23,1679.2393146371232
65,1.23,4,4.28,10.0,61.3,57.0,6.87,6.92,4.23,6384.280414351442
66,0.27,10,8.57,8.75,60.6,58.0,4.18,4.2,2.54,1014.134275618866
67,0.53,4,10.0,5.0,61.4,56.0,5.18,5.21,3.19,1896.8741937502418
68,1.25,4,5.71,2.5,61.1,55.0,6.95,6.99,4.26,5583.076917904755
69,0.34,4,8.57,7.5,62.3,57.0,4.48,4.44,2.78,1212.8390358227425
70,0.36,10,2.85,5.0,62.7,59.0,4.54,4.58,2.86,488.4694764028918
71,0.34,4,5.71,3.75,61.2,57.0,4.56,4.53,2.78,499.64791937908194
72,1.12,8,8.57,3.75,64.3,57.0,6.56,6.5,4.2,4857.952875063951
73,0.3,4,4.28,6.25,61.6,55.0,4.27,4.3,2.64,629.4228030219983
74,0.36,4,10.0,3.75,62.0,56.0,4.61,4.55,2.84,867.9278484097285
75,0.71,4,7.14,8.75,61.1,54.0,5.78,5.84,3.55,3211.790518259999
76,0.32,10,5.71,5.0,62.6,60.0,4.33,4.36,2.72,525.0635121466912
77,0.5,10,8.57,5.0,61.3,60.0,5.11,5.07,3.12,1588.1014422568824
78,0.51,6,8.57,3.75,63.3,59.0,5.09,5.05,3.21,1440.7014237979438
79,0.58,4,1.42,6.25,61.9,58.0,5.31,5.35,3.3,1782.1672824533725
80,0.3,4,7.14,10.0,62.5,54.0,4.31,4.33,2.7,1284.4707400470124
81,0.39,4,5.71,8.75,62.3,57.0,4.7,4.64,2.91,1442.5789825858374
82,0.31,4,7.14,5.0,61.8,56.0,4.37,4.33,2.69,655.032245663986
83,0.9,6,4.28,6.25,60.5,63.0,6.13,6.16,3.72,3879.933186176493
84,0.81,10,5.71,2.5,61.7,57.0,5.99,5.94,3.68,2810.680763811746
85,0.7,10,8.57,2.5,61.1,61.0,5.74,5.69,3.49,2340.9050192023715
86,0.38,6,1.42,5.0,60.5,60.0,4.64,4.68,2.82,594.8105102550053
87,0.71,6,5.71,3.75,60.0,59.0,5.76,5.8,3.47,2480.8289776512065
88,0.71,6,10.0,5.0,63.1,58.0,5.67,5.7,3.59,2743.476285042916
89,0.9,6,4.28,6.25,62.1,59.0,6.09,6.14,3.8,3776.468012361169
90,0.74,6,7.14,2.5,63.2,58.0,5.75,5.71,3.62,2444.273510415991
91,1.5,10,4.28,5.0,62.4,59.0,7.32,7.29,4.56,7276.069350151634
92,1.5,6,7.14,3.75,63.0,55.0,7.27,7.31,4.59,7276.725117703465
93,0.42,4,7.14,6.25,61.0,57.0,4.87,4.84,2.96,1331.3508071573451
94,1.01,10,5.71,5.0,61.6,58.0,6.45,6.4,3.96,4350.520302720559
95,2.48,10,2.85,2.5,63.0,62.0,8.62,8.58,5.42,13295.471258514435
96,1.02,4,7.14,7.5,61.1,56.3,6.48,6.52,3.97,4925.089316213633
97,0.4,4,10.0,5.0,61.3,57.0,4.77,4.75,2.92,1217.0454414142587
98,0.7,4,7.14,3.75,61.3,57.0,5.76,5.79,3.54,2432.4899721573493
99,1.01,8,8.57,5.0,62.5,58.0,6.32,6.36,3.96,4511.299345409838
100,1.13,6,2.85,5.0,60.7,58.0,6.72,6.75,4.09,5001.678529080518
101,1.09,4,2.85,5.0,61.9,56.0,6.62,6.67,4.09,4745.4742743906845
102,0.7,6,8.57,5.0,62.7,58.0,5.65,5.67,3.55,2639.495986790009
103,1.0,10,7.14,3.75,60.8,59.0,6.44,6.38,3.9,4275.327236395386
104,1.52,4,4.28,5.0,61.8,54.0,7.42,7.43,4.59,7516.499151666723
105,0.41,4,5.71,7.5,62.2,56.0,4.75,4.8,2.97,1330.442327770692
106,0.43,6,1.42,5.0,60.9,59.0,4.86,4.9,2.97,823.3437134530432
107,0.31,6,8.57,2.5,60.8,61.0,4.39,4.43,2.68,308.69123721880715
108,0.33,4,5.71,5.0,62.2,56.0,4.47,4.44,2.77,637.673427321939
109,0.7,10,8.57,5.0,61.0,59.0,5.74,5.7,3.49,2696.3055909352515
110,0.33,4,5.71,7.5,62.5,54.0,4.41,4.45,2.77,986.5456221172262
111,1.16,10,4.28,2.5,62.6,57.0,6.75,6.67,4.2,4772.543970929517
112,0.51,4,8.57,5.0,61.8,57.0,5.15,5.14,3.18,1669.6979258178344
113,1.13,8,5.71,1.25,63.4,58.0,6.58,6.61,4.18,4441.351731094337
114,0.52,10,8.57,5.0,62.5,60.0,5.1,5.14,3.2,1632.2080910505701
115,0.23,6,7.14,7.5,61.4,56.0,3.94,3.97,2.43,655.240010880485
116,0.5,2,7.14,3.75,64.7,60.0,4.99,4.84,3.18,1395.5060771784829
117,1.08,6,10.0,6.25,60.5,58.0,6.53,6.63,3.98,5349.9478237353305
118,0.3,10,5.71,6.25,62.2,59.0,4.31,4.28,2.67,622.1610811290611
119,0.48,4,1.42,6.25,62.2,54.0,5.01,5.06,3.13,1259.484770876039
120,1.51,4,1.42,6.25,61.6,58.0,7.35,7.43,4.55,7457.705743353848
121,1.03,10,7.14,2.5,62.4,59.0,6.45,6.38,4.0,4184.088912513884
122,0.31,6,5.71,7.5,63.4,59.0,4.29,4.26,2.71,893.7909624062759
123,0.4,4,5.71,10.0,62.3,55.0,4.74,4.76,2.96,1627.368559099803
124,1.03,4,8.57,5.0,61.7,56.0,6.45,6.54,4.01,4655.225526326272
125,1.16,10,1.42,3.75,62.5,58.0,6.73,6.67,4.19,4767.623834350583
126,1.04,6,1.42,2.5,62.8,57.0,6.44,6.5,4.06,3852.9397895798247
127,0.71,10,8.57,5.0,61.5,60.0,5.76,5.68,3.52,2729.3792805201483
128,0.29,6,4.28,7.5,61.2,56.0,4.26,4.29,2.61,740.5659371736529
129,1.09,4,5.71,2.5,61.2,57.0,6.68,6.63,4.07,4582.788982053138
130,0.74,4,7.14,6.25,62.3,56.0,5.76,5.79,3.6,3007.5659663742263
131,0.42,4,10.0,5.0,62.4,55.0,4.82,4.8,3.0,1315.5472674634548
132,0.54,4,2.85,3.75,62.0,55.0,5.21,5.25,3.24,1321.3695614505068
133,0.51,4,8.57,5.0,62.6,55.0,5.08,5.11,3.19,1670.3500472314918
134,1.01,10,7.14,2.5,58.8,61.0,6.53,6.46,3.82,4330.480323664218
135,1.0,10,4.28,5.0,59.4,61.0,6.51,6.46,3.85,4373.224287282215
136,1.02,10,4.28,5.0,61.0,60.0,6.5,6.46,3.95,4365.147547461767
137,0.73,8,8.57,6.25,60.8,61.0,5.77,5.8,3.52,3049.47033218823
138,1.01,10,4.28,2.5,60.3,59.0,6.51,6.45,3.91,4010.3606222013605
139,0.33,8,10.0,3.75,63.1,55.0,4.38,4.4,2.77,703.7631631367167
140,1.22,4,7.14,6.25,62.3,57.0,6.79,6.83,4.24,5927.085016984387
141,0.31,4,10.0,6.25,62.0,54.0,4.35,4.36,2.7,1004.400069457648
142,1.07,10,5.71,3.75,60.5,62.0,6.69,6.6,4.02,4587.648373802764
143,1.01,6,8.57,7.5,60.2,60.0,6.46,6.5,3.9,4994.8022820287315
144,0.23,6,7.14,10.0,59.5,58.0,4.0,4.03,2.39,969.4342427210722
145,0.35,6,10.0,6.25,60.9,58.0,4.54,4.56,2.77,1148.9020488074548
146,0.55,4,7.14,7.5,60.7,56.0,5.31,5.34,3.23,2182.3446650152346
147,0.9,4,5.71,3.75,61.9,59.0,6.16,6.19,3.82,3532.021720212633
148,0.72,4,5.71,8.75,62.2,57.0,5.72,5.75,3.57,3140.7096749717
149,0.83,6,8.57,3.75,63.5,58.0,5.93,5.98,3.78,3169.6016067844175
150,1.04,4,4.28,3.75,61.9,57.0,6.49,6.46,4.01,4315.611930705445
151,0.71,6,8.57,5.0,59.9,59.0,5.77,5.81,3.47,2829.625998352207
152,0.43,4,7.14,3.75,61.3,56.0,4.9,4.86,2.99,1039.9365573695977
153,0.33,4,8.57,5.0,61.3,55.0,4.46,4.48,2.74,821.5455932066106
154,1.72,2,10.0,2.5,64.6,58.0,7.53,7.46,4.84,8617.736130884537
155,1.13,4,5.71,3.75,61.8,55.0,6.71,6.75,4.16,4920.341776903093
156,0.52,4,10.0,3.75,62.4,56.0,5.12,5.17,3.21,1623.415648629567
157,0.3,6,5.71,6.25,62.5,55.0,4.25,4.32,2.68,658.7861761212607
158,1.53,10,5.71,6.25,61.0,60.0,7.43,7.4,4.52,7896.286731396029
159,2.02,2,4.28,2.5,56.5,61.0,8.33,8.37,4.72,11258.091153387099
160,0.33,10,4.28,6.25,61.0,59.0,4.5,4.45,2.73,663.4558429140543
161,0.7,6,5.71,1.25,61.5,63.0,5.73,5.65,3.5,2000.3589150309072
162,1.26,10,2.85,3.75,60.5,62.0,6.97,6.92,4.2,5671.414726738236
163,0.3,10,10.0,5.0,62.5,59.0,4.28,4.23,2.66,730.0595206356866
164,0.59,6,4.28,6.25,62.1,55.0,5.37,5.41,3.35,1971.1305158215418
165,0.82,4,8.57,3.75,62.1,55.0,5.98,6.0,3.72,3235.8467669059446
166,0.39,6,5.71,7.5,60.7,61.0,4.7,4.73,2.86,1235.2725181479855
167,0.31,4,4.28,10.0,62.1,54.0,4.33,4.37,2.7,1176.33406762915
168,1.26,4,2.85,2.5,62.0,56.0,7.0,6.94,4.32,5397.2844352417505
169,1.51,6,7.14,2.5,62.7,60.0,7.25,7.32,4.57,7158.421082584211
170,0.56,4,5.71,6.25,60.6,56.0,5.33,5.36,3.24,1979.718282356278
171,0.31,4,5.71,8.75,62.5,55.0,4.34,4.33,2.71,1086.4189691355368
172,0.56,4,4.28,7.5,60.9,57.0,5.38,5.33,3.26,2057.773373359607
173,0.96,10,8.57,2.5,58.2,58.0,6.52,6.47,3.78,4119.193603385633
174,0.52,6,8.57,3.75,62.7,57.0,5.1,5.14,3.21,1512.9110964128758
175,1.02,6,4.28,3.75,63.5,55.0,6.31,6.35,4.02,4093.2404751524627
176,1.06,8,2.85,6.25,57.5,62.0,6.71,6.83,3.9,4896.311904900647
177,1.21,4,4.28,3.75,62.1,59.0,6.81,6.75,4.21,5375.508654283374
178,2.02,2,4.28,5.0,64.5,57.0,8.0,7.95,5.14,10556.609402253891
179,1.52,4,5.71,5.0,62.1,56.0,7.39,7.34,4.57,7623.176227603757
180,2.03,6,2.85,2.5,62.8,59.0,8.04,8.08,5.06,10330.98469780657
181,0.28,8,7.14,7.5,61.2,62.0,4.16,4.21,2.56,808.8152825985217
182,0.7,2,5.71,6.25,65.8,61.0,5.61,5.46,3.64,2579.08694602751
183,0.7,4,5.71,8.75,62.3,57.0,5.61,5.65,3.51,3059.427784327354
184,2.32,2,4.28,1.25,70.5,55.0,7.93,7.9,5.58,11429.982285720695
185,0.58,4,1.42,5.0,60.9,57.0,5.38,5.4,3.28,1655.7858708492968
186,0.54,4,10.0,6.25,61.6,54.0,5.24,5.25,3.23,2123.943901544366
187,1.2,6,2.85,3.75,62.9,54.0,6.75,6.77,4.25,5140.686985546325
188,0.52,6,7.14,5.0,62.4,57.0,5.12,5.13,3.2,1611.3027417159228
189,1.57,10,7.14,2.5,60.2,60.0,7.49,7.43,4.49,7857.747304416336
