,Country,Sex ,Date
0,USA,M,18-Sep-16
1,USA,M,18-Sep-16
2,USA,M,18-Sep-16
6,USA,M,11-Sep-16
7,USA,F,07-Sep-16
9,USA,F,05-Sep-16
11,USA,M,04-Sep-16
12,USA,M,01-Sep-16
13,USA,M,29-Aug-16
14,USA,M,29-Aug-16
16,USA,M,25-Aug-16
18,USA,M,06-Aug-16
19,USA,M,04-Aug-16
23,USA,M,27-Jul-16
30,USA,F,16-Jul-16
31,USA,F,16-Jul-16
32,USA,M,15-Jul-16
35,USA,M,08-Jul-16
36,USA,M,07-Jul-16
37,USA,M,07-Jul-16
38,USA,F,06-Jul-16
40,USA,M,27-Jun-16
41,USA,M,25-Jun-16
44,USA,M,21-Jun-16
45,USA,M,21-Jun-16
46,USA,M,15-Jun-16
48,USA,F,14-Jun-16
49,USA,M,11-Jun-16
50,USA,M,07-Jun-16
51,USA,M,05-Jun-16
57,USA,F,29-May-16
58,USA,M,29-May-16
59,USA,F,22-May-16
60,USA,F,21-May-16
61,USA,F,21-May-16
62,USA,M,18-May-16
63,USA,F,15-May-16
64,USA,M,03-May-16
67,USA,M,23-Apr-16
71,USA,M,13-Apr-16
74,USA,M,07-Apr-16
75,USA,M,07-Apr-16
76,USA,F,31-Mar-16
78,USA,M,28-Mar-16
82,USA,M,11-Mar-16
84,USA,M,04-Mar-16
95,USA,M,28-Jan-16
96,USA,F,25-Jan-16
97,USA,M,24-Jan-16
99,USA,M,23-Jan-16
105,USA,M,22-Dec-15
112,USA,M,16-Nov-15
113,USA,F,15-Nov-15
114,USA,M,15-Nov-15
116,USA,F,07-Nov-15
117,USA,M,03-Nov-15
118,USA,F,01-Nov-15
121,USA,M,28-Oct-15
123,USA,M,21-Oct-15
124,USA,M,19-Oct-15
126,USA,M,17-Oct-15
127,USA,M,17-Oct-15
128,USA,M,13-Oct-15
129,USA,F,09-Oct-15
130,USA,M,09-Oct-15
133,USA,M,05-Oct-15
134,USA,M,05-Oct-15
135,USA,M,04-Oct-15
136,USA,M,29-Sep-15
138,USA,M,24-Sep-15
139,USA,M,20-Sep-15
140,USA,M,20-Sep-15
141,USA,M,20-Sep-15
142,USA,M,20-Sep-15
143,USA,M,18-Sep-15
144,USA,M,17-Sep-15
146,USA,F,06-Sep-15
147,USA,M,05-Sep-15
149,USA,M,03-Sep-15
152,USA,F,29-Aug-15
153,USA,M,29-Aug-15
154,USA,M,22-Aug-15
156,USA,M,20-Aug-15
157,USA,F,19-Aug-15
158,USA,M,18-Aug-15
160,USA,M,10-Aug-15
162,USA,M,26-Jul-15
163,USA,F,26-Jul-15
165,USA,M,23-Jul-15
169,USA,M,10-Jul-15
170,USA,M,08-Jul-15
173,USA,M,04-Jul-15
176,USA,M,01-Jul-15
178,USA,M,30-Jun-15
179,USA,M,27-Jun-15
181,USA,F,26-Jun-15
183,USA,M,26-Jun-15
185,USA,M,25-Jun-15
186,USA,M,24-Jun-15
188,USA,M,23-Jun-15
190,USA,M,17-Jun-15
191,USA,M,14-Jun-15
192,USA,F,14-Jun-15
193,USA,F,13-Jun-15
194,USA,F,11-Jun-15
195,USA,M,07-Jun-15
196,USA,F,05-Jun-15
198,USA,F,29-May-15
199,USA,F,29-May-15
201,USA,F,24-May-15
202,USA,M,20-May-15
203,USA,M,15-May-15
205,USA,M,07-May-15
208,USA,F,29-Apr-15
209,USA,M,26-Apr-15
212,USA,M,13-Apr-15
